Algorithm,Time Taken,Best Tour,Best Cost,Num Nodes,Edge Percentage,Num Edges,Adjacency List
tsp_brute_force,0.0004966259002685547,"[0, 1, 4, 2, 3, 0]",121,5,16.0,20,"[(0, 1, 1), (0, 2, 63), (0, 3, 15), (0, 4, 81), (1, 0, 1), (1, 2, 12), (1, 3, 78), (1, 4, 29), (2, 0, 63), (2, 1, 12), (2, 3, 14), (2, 4, 62), (3, 0, 15), (3, 1, 33), (3, 2, 14), (3, 4, 44), (4, 0, 81), (4, 1, 29), (4, 2, 62), (4, 3, 44)]"
tsp_brute_force,0.0,,inf,5,6.4,8,"[(0, 4, 13), (1, 2, 32), (2, 1, 32), (2, 3, 87), (3, 2, 87), (3, 4, 98), (4, 3, 98), (4, 0, 13)]"
tsp_brute_force,0.0,"[0, 1, 2, 4, 3, 0]",137,5,12.8,16,"[(0, 2, 69), (0, 4, 83), (0, 3, 20), (0, 1, 41), (1, 0, 41), (1, 2, 26), (1, 3, 91), (2, 0, 69), (2, 1, 26), (2, 4, 31), (3, 4, 19), (3, 0, 20), (3, 1, 91), (4, 3, 19), (4, 0, 83), (4, 2, 34)]"
tsp_brute_force,0.0004961490631103516,"[0, 4, 3, 2, 1, 0]",106,5,16.0,20,"[(0, 1, 32), (0, 2, 5), (0, 3, 16), (0, 4, 16), (1, 0, 32), (1, 2, 17), (1, 3, 98), (1, 4, 53), (2, 0, 85), (2, 1, 17), (2, 3, 57), (2, 4, 63), (3, 0, 29), (3, 1, 98), (3, 2, 27), (3, 4, 14), (4, 0, 16), (4, 1, 53), (4, 2, 89), (4, 3, 14)]"
tsp_brute_force,0.0,,inf,5,6.4,8,"[(0, 1, 63), (1, 2, 74), (1, 3, 76), (1, 0, 81), (2, 1, 74), (2, 4, 53), (3, 1, 76), (4, 2, 53)]"
tsp_brute_force,0.0,"[0, 4, 1, 3, 2, 0]",181,5,12.8,16,"[(0, 1, 60), (0, 2, 66), (0, 4, 10), (1, 3, 83), (1, 0, 60), (1, 4, 61), (1, 2, 74), (2, 4, 94), (2, 0, 19), (2, 1, 74), (2, 3, 8), (3, 1, 83), (3, 2, 8), (4, 1, 61), (4, 2, 94), (4, 0, 33)]"
tsp_brute_force,0.0004949569702148438,"[0, 1, 4, 3, 2, 0]",127,5,16.0,20,"[(0, 1, 19), (0, 2, 97), (0, 3, 69), (0, 4, 61), (1, 0, 19), (1, 2, 7), (1, 3, 38), (1, 4, 8), (2, 0, 34), (2, 1, 7), (2, 3, 38), (2, 4, 75), (3, 0, 69), (3, 1, 91), (3, 2, 38), (3, 4, 28), (4, 0, 61), (4, 1, 47), (4, 2, 75), (4, 3, 28)]"
tsp_brute_force,0.0,,inf,5,6.4,8,"[(0, 4, 90), (0, 1, 73), (1, 0, 73), (2, 3, 27), (3, 4, 26), (3, 2, 27), (4, 0, 90), (4, 3, 26)]"
tsp_brute_force,0.0,"[0, 1, 2, 4, 3, 0]",279,5,11.2,14,"[(0, 3, 59), (0, 2, 60), (0, 1, 22), (1, 3, 37), (1, 2, 21), (1, 0, 78), (2, 0, 60), (2, 4, 98), (2, 1, 21), (3, 1, 40), (3, 0, 59), (3, 4, 79), (4, 3, 79), (4, 2, 98)]"
tsp_brute_force,0.0004961490631103516,"[0, 1, 2, 3, 4, 0]",150,5,16.0,20,"[(0, 1, 43), (0, 2, 39), (0, 3, 50), (0, 4, 24), (1, 0, 43), (1, 2, 64), (1, 3, 55), (1, 4, 62), (2, 0, 39), (2, 1, 64), (2, 3, 10), (2, 4, 31), (3, 0, 50), (3, 1, 55), (3, 2, 23), (3, 4, 9), (4, 0, 24), (4, 1, 62), (4, 2, 31), (4, 3, 9)]"
tsp_brute_force,0.0,,inf,5,6.4,8,"[(0, 2, 20), (0, 4, 73), (1, 3, 3), (1, 2, 73), (2, 1, 73), (2, 0, 37), (3, 1, 6), (4, 0, 73)]"
tsp_brute_force,0.0,"[0, 2, 3, 4, 1, 0]",176,5,12.8,16,"[(0, 4, 59), (0, 2, 6), (0, 1, 27), (1, 2, 73), (1, 4, 52), (1, 0, 27), (1, 3, 37), (2, 3, 68), (2, 0, 6), (2, 1, 73), (3, 4, 69), (3, 2, 75), (3, 1, 62), (4, 0, 80), (4, 3, 69), (4, 1, 6)]"
